Data;Taxa (% a.a.);Fator diario;Financeiro (R$);Operacoes;Media;Mediana;Moda;Desvio padrao;Indice de curtose
04/04/2025;14,15;1,00052531;1.469.788.328.403,50;823;14,15;14,14;14,15;0,019;1.040,07
03/04/2025;14,15;1,00052531;1.515.960.801.213,82;860;14,15;14,14;14,15;0,018;1.169,17
02/04/2025;14,15;1,00052531;1.502.352.894.509,09;894;14,15;14,14;14,15;0,019;864,264
01/04/2025;14,15;1,00052531;1.528.430.939.092,40;865;14,15;14,14;14,15;0,02;813,667
31/03/2025;14,15;1,00052531;1.273.380.941.652,04;809;14,15;14,14;14,15;0,021;655,903
28/03/2025;14,15;1,00052531;1.334.874.408.541,12;863;14,15;14,14;14,15;0,02;620,535
27/03/2025;14,15;1,00052531;1.341.912.160.180,30;879;14,15;14,14;14,15;0,022;3.082,69
26/03/2025;14,15;1,00052531;1.391.615.254.358,96;903;14,15;14,14;14,15;0,022;4.231,08
25/03/2025;14,15;1,00052531;1.401.538.718.285,09;880;14,15;14,14;14,15;0,026;1.750,54
24/03/2025;14,15;1,00052531;1.389.232.101.602,81;871;14,15;14,14;14,15;0,022;4.337,91
21/03/2025;14,15;1,00052531;1.385.198.466.150,10;875;14,15;14,14;14,15;0,027;5.705,62
20/03/2025;14,15;1,00052531;1.454.638.591.874,43;846;14,15;14,14;14,15;0,025;5.668,92
19/03/2025;13,15;1,00049037;1.425.021.153.973,74;861;13,15;13,14;13,15;0,033;4.527,15
18/03/2025;13,15;1,00049037;1.474.637.739.315,64;849;13,15;13,14;13,15;0,04;3.380,56
17/03/2025;13,15;1,00049037;1.457.318.574.784,20;841;13,15;13,14;13,15;0,038;3.708,83
14/03/2025;13,15;1,00049037;1.496.158.732.267,87;833;13,15;13,14;13,15;0,039;3.579,44
13/03/2025;13,15;1,00049037;1.504.277.317.627,36;838;13,15;13,14;13,15;0,039;3.575,48
12/03/2025;13,15;1,00049037;1.496.834.040.296,02;917;13,15;13,14;13,15;0,037;3.665,64
11/03/2025;13,15;1,00049037;1.519.610.729.025,05;864;13,15;13,14;13,15;0,035;4.037,70
10/03/2025;13,15;1,00049037;1.502.269.762.221,40;857;13,15;13,14;13,15;0,024;3.181,84
07/03/2025;13,15;1,00049037;1.499.555.867.314,72;887;13,15;13,14;13,15;0,021;3.528,37
06/03/2025;13,15;1,00049037;1.505.909.463.471,99;824;13,15;13,14;13,15;0,076;16.928,49
05/03/2025;13,15;1,00049037;1.500.712.280.137,94;876;13,15;13,14;13,15;0,025;3.314,62
28/02/2025;13,15;1,00049037;1.248.740.447.752,56;900;13,15;13,14;13,15;0,022;2.601,05
27/02/2025;13,15;1,00049037;1.328.141.125.579,93;933;13,15;13,14;13,15;0,024;3.091,06
26/02/2025;13,15;1,00049037;1.309.372.814.620,10;922;13,15;13,14;13,15;0,02;985,222
25/02/2025;13,15;1,00049037;1.352.835.156.015,40;879;13,15;13,14;13,15;0,019;869,042
24/02/2025;13,15;1,00049037;1.338.108.383.397,84;869;13,15;13,14;13,15;0,02;940,679
21/02/2025;13,15;1,00049037;1.345.034.058.334,19;880;13,15;13,14;13,15;0,021;2.329,65
20/02/2025;13,15;1,00049037;1.423.925.002.590,07;922;13,15;13,14;13,15;0,025;4.790,32
19/02/2025;13,15;1,00049037;1.427.113.907.143,95;864;13,15;13,14;13,15;0,033;4.560,03
18/02/2025;13,15;1,00049037;1.464.380.455.169,97;905;13,15;13,14;13,15;0,037;3.847,64
17/02/2025;13,15;1,00049037;1.456.958.889.366,91;919;13,15;13,14;13,15;0,037;3.562,53
14/02/2025;13,15;1,00049037;1.424.917.035.446,69;882;13,15;13,14;13,15;0,037;3.738,52
